,dateTime,rBTC,rETH,rADA,rXRP,rDOT,rAVAX,rDOGE,averageReturn1
0,2021-12-25 12:30:00,0.0015901280521715,0.0051916190565536,0.0056298530120704,0.0027181316001264,0.0010926844110746,0.008814474314414,0.0060323466090935,0.004438462436500571
1,2021-12-25 12:00:00,-0.0021126494860594,-0.0046761354216096,-0.007032377786156,-0.0018491330661879,-0.0029580611068376,-0.0102904893425344,-0.0032683264292959,-0.004598167519811543
2,2021-12-25 11:30:00,-0.0019892679792603,0.0011478435996738,-0.0007005254226931,-0.0072546471604187,-0.0021426447017758,-0.0004337077745045,-0.0101187741569144,-0.003070246227984714
3,2021-12-25 11:00:00,-0.001019959040528,-0.002250013901613,-0.0007000350303377,-0.0014015419252885,-0.0054936541406262,-0.005707383185587,-0.0036893481200562,-0.0028945621920052284
4,2021-12-25 10:30:00,0.0001374795599519,-0.0004213145816221,0.0028030852271165,-0.0023673743973792,-0.0009068713561876,0.0012079380243571,0.0025480361799187,0.00042871123659361435
5,2021-12-25 10:00:00,0.0015782437244163,0.0029628189402217,0.0056298530120704,0.003553166591518,0.0065057941952636,0.0080614140895446,0.0051172136013666,0.004772643450628743
6,2021-12-25 09:30:00,-0.0023349325735232,-0.0017402706624426,-0.0028188884064201,0.0018353581400374,-0.0022083188952285,-0.009958947865736,-0.006833545807386,-0.0034370780100998577
7,2021-12-25 09:00:00,-0.0022903310661119,-0.0018135677542987,-0.0014064699927517,-0.0043131401779787,-0.0044717793913934,-0.0047281411959459,-0.0048981257956321,-0.0034173650534446284
8,2021-12-25 08:30:00,0.0013861577712775,0.0003964369969493,0.007052215405325,0.0060436186543729,0.0053825581701544,0.0067120121187483,0.006008665432487,0.004711666364187772
9,2021-12-25 08:00:00,0.0023740951610649,0.0033155334851038,0.0071023025820666,0.0047743146243773,0.00724564388302,0.0132106909968786,-0.0051584483988116,0.004694876047671372
10,2021-12-25 07:30:00,-0.0005566797039675,-0.0001853084959364,-0.0042674317962192,-0.002715474432421,-0.004578601313897,-0.003231867249448,-0.0038587170350402,-0.0027705828609899
11,2021-12-25 07:00:00,-0.0019821149133144,-0.0018931195591551,0.002842930130834,-0.0010841284669824,-0.0013695024526555,0.0017456581198281,-0.0062768815156973,-0.0011453083795918
12,2021-12-25 06:30:00,0.0022554053346145,0.0028818285835586,-0.0014224753465428,0.0014095963299043,0.0077500652116553,0.0068373337893697,0.0209406569738859,0.0058074872680636425
13,2021-12-25 06:00:00,-0.0024537929458411,-0.001280191560982,-0.0007104796035985,0.0016289301533111,-0.0025782768092614,-0.00123066119611,0.0101835259786418,0.0005084362880228428
14,2021-12-25 05:30:00,0.0028217035948724,0.0018095525554814,0.0035574566155266,0.0054490108669831,0.0047732787526578,0.0050200466514663,0.0035259281017244,0.0038509967341017145
15,2021-12-25 05:00:00,-0.0011692985070544,-0.0006925653390646,-0.0042674317962192,-0.0041439535855067,-0.0045616161420675,-0.0015880020981584,-0.001748255925389,-0.002595874770494257
16,2021-12-25 04:30:00,0.0025922951479819,0.002639262142918,0.0042674317962193,0.0034885023931528,0.0031449344813642,0.0084097339790828,0.0040219272462112,0.004080583883847171
17,2021-12-25 04:00:00,-0.005878723850372,-0.0058287582801761,-0.0063943379507263,-0.0032708271637343,-0.006455845892376,-0.0194556953305905,-0.005139933496244,-0.007489160280602744
18,2021-12-25 03:30:00,0.001687929397274,0.0005004628769638,0.0042583456825772,0.0023975599976611,0.0046878114855593,0.0018325411996041,0.0025175410518577,0.002554598813071029
19,2021-12-25 03:00:00,-0.0001428929713496,-0.0012987126828325,-0.0028409110016037,0.0007640670567647,0.0003180155854437,-0.0048793335456539,-0.0014816426051513,-0.001365915737768943
20,2021-12-25 02:30:00,-0.000838521078279,-0.0018306100746767,0.0,-0.0067472233335988,-0.0091116002136467,-0.0032108328014455,-0.006749718706632,-0.004069786601182672
21,2021-12-25 02:00:00,0.0028273322467926,0.0033142862154228,0.0035524016043677,0.0077304538711042,0.0038244989687898,-0.0038912237261506,0.0022191954057184,0.0027967063694349856
22,2021-12-25 01:30:00,0.0015920133836787,0.0012685377240038,0.0092957408734812,0.0037231755667718,0.0103181127422626,0.0075367446457208,0.0112187600386377,0.0064218692820795144
23,2021-12-25 01:00:00,0.0017801575657193,0.0012281143319129,-0.0035855183625969,0.0031866407934148,-0.000213090884068,0.0012181329270996,-0.0021274539011351,0.00021242606719237145
24,2021-12-25 00:30:00,-0.0005045225400165,-0.0030514398268437,0.0014326650014959,0.0023139231303972,-0.0057716641286475,-0.0083232663614932,-0.0025263635292634,-0.0023472383220530285
25,2021-12-25 00:00:00,-0.0025608425214086,-0.0031846847156646,-0.0121127237977212,-0.0069257683529601,-0.0170136429054561,-0.013464463092787,-0.0149329711388561,-0.010027870932121957
26,2021-12-24 23:30:00,0.0002247626347084,0.000616947897305,-0.0007079646313401,-0.0015325673497782,-0.0024268490624038,-0.0039957545193365,-0.0059401854918507,-0.0019659443603851283
27,2021-12-24 23:00:00,-0.0045289118280056,-0.0017834380855545,-0.0042372944755152,-0.0086043116474515,-0.0039052424742196,-0.0094579323499923,-0.003420031704965,-0.0051338803665291
28,2021-12-24 22:30:00,-1.8582305088511125e-05,0.0006137725846165,-0.0028149209298096,-0.0069167032476648,-0.0001724464989011,-0.0056154025946227,-0.0011881078073284,-0.0023017701141140874
29,2021-12-24 22:00:00,0.0012908239489068,0.0040579088209268,0.0063447516333344,0.008218928065439,0.0106088916233339,0.0025942522604465,0.0116020323105807,0.006388226951852586
30,2021-12-24 21:30:00,-0.0017556604094502,-0.0058270065151949,0.0035423345578377,0.0064273874518001,-0.0035140860405935,-0.0080120608866972,-0.0031409901023208,-0.0017542974206598287
31,2021-12-24 21:00:00,-0.0073182895694457,-0.0053568696968852,-0.0133946310008494,-0.0316257399358364,-0.0123573420197717,-0.0061324464994674,-0.0124978629044519,-0.012669025946672529
32,2021-12-24 20:30:00,-0.0020797846088123,-0.0053186246400896,-0.0090624530999924,-0.0058069106847788,-0.0078592579492298,-0.0004130012861744,-0.0071504832811455,-0.005384359364317544
33,2021-12-24 20:00:00,0.0080349269791185,0.0047579484987476,0.0041724678058007,-0.0004210083211328,0.0100228317794586,0.0065454477856418,0.0119724433668799,0.006440722556359185
