,dateTime,rBTC,rETH,rADA,rXRP,rDOT,rAVAX,rDOGE
0,2021-12-25 12:30:00,0.0015901280521715098,0.005191619056553601,0.005629853012070464,0.002718131600126474,0.0010926844110746106,0.008814474314414004,0.006032346609093524
1,2021-12-25 12:00:00,-0.002112649486059415,-0.004676135421609684,-0.0070323777861560225,-0.0018491330661879438,-0.0029580611068376343,-0.010290489342534489,-0.003268326429295914
2,2021-12-25 11:30:00,-0.001989267979260335,0.0011478435996738786,-0.0007005254226931651,-0.007254647160418704,-0.0021426447017758457,-0.0004337077745045018,-0.01011877415691442
3,2021-12-25 11:00:00,-0.001019959040528076,-0.0022500139016130498,-0.000700035030337759,-0.0014015419252885557,-0.005493654140626272,-0.005707383185587012,-0.0036893481200562872
4,2021-12-25 10:30:00,0.00013747955995197284,-0.00042131458162217544,0.002803085227116559,-0.0023673743973792153,-0.0009068713561876144,0.0012079380243571257,0.002548036179918714
5,2021-12-25 10:00:00,0.0015782437244163464,0.0029628189402217467,0.005629853012070464,0.0035531665915180173,0.006505794195263676,0.008061414089544621,0.005117213601366622
6,2021-12-25 09:30:00,-0.002334932573523227,-0.0017402706624426592,-0.0028188884064201656,0.0018353581400374563,-0.002208318895228543,-0.00995894786573603,-0.006833545807386005
7,2021-12-25 09:00:00,-0.00229033106611193,-0.0018135677542987809,-0.0014064699927517131,-0.004313140177978779,-0.004471779391393401,-0.0047281411959459,-0.004898125795632134
8,2021-12-25 08:30:00,0.0013861577712775436,0.0003964369969493991,0.007052215405325001,0.006043618654372991,0.00538255817015443,0.006712012118748305,0.006008665432487018
9,2021-12-25 08:00:00,0.002374095161064907,0.0033155334851038953,0.0071023025820666046,0.004774314624377367,0.00724564388302002,0.013210690996878677,-0.005158448398811613
10,2021-12-25 07:30:00,-0.0005566797039675933,-0.00018530849593648033,-0.004267431796219244,-0.002715474432421063,-0.004578601313897064,-0.0032318672494480627,-0.0038587170350402144
11,2021-12-25 07:00:00,-0.0019821149133144034,-0.0018931195591551059,0.0028429301308340238,-0.0010841284669824143,-0.0013695024526555004,0.0017456581198281795,-0.006276881515697301
12,2021-12-25 06:30:00,0.0022554053346145442,0.0028818285835586184,-0.0014224753465428782,0.0014095963299043674,0.007750065211655314,0.006837333789369702,0.02094065697388597
13,2021-12-25 06:00:00,-0.0024537929458411153,-0.001280191560982056,-0.0007104796035985629,0.0016289301533111817,-0.002578276809261425,-0.0012306611961100254,0.010183525978641883
14,2021-12-25 05:30:00,0.0028217035948724808,0.0018095525554814235,0.003557456615526601,0.005449010866983116,0.004773278752657812,0.005020046651466359,0.0035259281017244303
15,2021-12-25 05:00:00,-0.0011692985070544829,-0.0006925653390646074,-0.004267431796219244,-0.004143953585506776,-0.004561616142067513,-0.0015880020981584027,-0.0017482559253890794
16,2021-12-25 04:30:00,0.00259229514798198,0.0026392621429180752,0.00426743179621934,0.003488502393152847,0.003144934481364263,0.008409733979082856,0.004021927246211205
17,2021-12-25 04:00:00,-0.0058787238503720555,-0.005828758280176103,-0.006394337950726365,-0.0032708271637343048,-0.0064558458923760186,-0.019455695330590574,-0.005139933496244091
18,2021-12-25 03:30:00,0.0016879293972740159,0.0005004628769638753,0.004258345682577246,0.0023975599976611313,0.004687811485559344,0.0018325411996041139,0.0025175410518577944
19,2021-12-25 03:00:00,-0.0001428929713496727,-0.0012987126828325575,-0.0028409110016037525,0.0007640670567647497,0.0003180155854437868,-0.004879333545653961,-0.0014816426051513984
20,2021-12-25 02:30:00,-0.0008385210782790065,-0.001830610074676736,0.0,-0.0067472233335988275,-0.009111600213646796,-0.0032108328014455183,-0.006749718706632045
21,2021-12-25 02:00:00,0.002827332246792662,0.00331428621542286,0.0035524016043677006,0.007730453871104251,0.003824498968789854,-0.003891223726150644,0.002219195405718411
22,2021-12-25 01:30:00,0.0015920133836787298,0.0012685377240038867,0.009295740873481234,0.0037231755667718703,0.010318112742262619,0.007536744645720876,0.011218760038637778
23,2021-12-25 01:00:00,0.0017801575657193747,0.0012281143319129001,-0.0035855183625969965,0.0031866407934148465,-0.0002130908840680704,0.0012181329270996217,-0.0021274539011351444
24,2021-12-25 00:30:00,-0.0005045225400165792,-0.0030514398268437623,0.001432665001495916,0.0023139231303972198,-0.00577166412864752,-0.008323266361493213,-0.002526363529263457
25,2021-12-25 00:00:00,-0.002560842521408664,-0.003184684715664649,-0.012112723797721289,-0.006925768352960154,-0.01701364290545617,-0.013464463092787099,-0.014932971138856173
26,2021-12-24 23:30:00,0.00022476263470847823,0.0006169478973050837,-0.0007079646313401279,-0.0015325673497782273,-0.002426849062403822,-0.00399575451933652,-0.005940185491850726
27,2021-12-24 23:00:00,-0.004528911828005687,-0.0017834380855545006,-0.004237294475515267,-0.008604311647451558,-0.003905242474219665,-0.009457932349992341,-0.003420031704965009
28,2021-12-24 22:30:00,-1.8582305088511125e-05,0.0006137725846165091,-0.0028149209298096727,-0.006916703247664881,-0.0001724464989011705,-0.005615402594622749,-0.0011881078073284063
29,2021-12-24 22:00:00,0.0012908239489068188,0.004057908820926847,0.006344751633334467,0.008218928065439028,0.010608891623333958,0.0025942522604465623,0.011602032310580783
30,2021-12-24 21:30:00,-0.0017556604094502385,-0.005827006515194905,0.0035423345578377836,0.006427387451800149,-0.00351408604059355,-0.008012060886697286,-0.003140990102320815
31,2021-12-24 21:00:00,-0.007318289569445716,-0.005356869696885217,-0.01339463100084943,-0.031625739935836485,-0.012357342019771747,-0.006132446499467416,-0.012497862904451925
